Freq.	V(vout)
1.00000000000000e-02	7.55351371134234e-04,3.59496680110177e-02
1.00695555005672e-02	7.65891404366094e-04,3.61995050944307e-02
1.01395947979003e-02	7.76578450730049e-04,3.64510754667704e-02
1.02101212570719e-02	7.87414559074376e-04,3.67043910902727e-02
1.02811382665607e-02	7.98401806753334e-04,3.69594640084106e-02
1.03526492384138e-02	8.09542300022398e-04,3.72163063464186e-02
1.04246576084112e-02	8.20838174438963e-04,3.74749303118186e-02
1.04971668362307e-02	8.32291595268588e-04,3.77353481949495e-02
1.05701804056138e-02	8.43904757896831e-04,3.79975723694996e-02
1.06437018245336e-02	8.55679888246662e-04,3.82616152930415e-02
1.07177346253629e-02	8.67619243201763e-04,3.85274895075696e-02
1.07922823650443e-02	8.79725111035548e-04,3.87952076400409e-02
1.08673486252606e-02	8.91999811846106e-04,3.90647824029182e-02
1.09429370126074e-02	9.04445697997139e-04,3.93362265947163e-02
1.10190511587661e-02	9.17065154564976e-04,3.96095531005506e-02
1.10956947206785e-02	9.29860599791660e-04,3.98847748926891e-02
1.11728713807222e-02	9.42834485544410e-04,4.01619050311067e-02
1.12505848468881e-02	9.55989297781160e-04,4.04409566640424e-02
1.13288388529580e-02	9.69327557022744e-04,4.07219430285592e-02
1.14076371586843e-02	9.82851818831429e-04,4.10048774511070e-02
1.14869835499704e-02	9.96564674295995e-04,4.12897733480880e-02
1.15668818390529e-02	1.01046875052355e-03,4.15766442264252e-02
1.16473358646846e-02	1.02456671113810e-03,4.18655036841330e-02
1.17283494923188e-02	1.03886125678583e-03,4.21563654108913e-02
1.18099266142953e-02	1.05335512564752e-03,4.24492431886220e-02
1.18920711500272e-02	1.06805109395779e-03,4.27441508920682e-02
1.19747870461893e-02	1.08295197653159e-03,4.30411024893760e-02
1.20580782769076e-02	1.09806062729784e-03,4.33401120426794e-02
1.21419488439505e-02	1.11337993984045e-03,4.36411937086876e-02
1.22264027769207e-02	1.12891284794667e-03,4.39443617392754e-02
1.23114441334492e-02	1.14466232616301e-03,4.42496304820753e-02
1.23970769993899e-02	1.16063139035872e-03,4.45570143810737e-02
1.24833054890162e-02	1.17682309829704e-03,4.48665279772087e-02
1.25701337452183e-02	1.19324055021428e-03,4.51781859089709e-02
1.26575659397028e-02	1.20988688940667e-03,4.54920029130068e-02
1.27456062731927e-02	1.22676530282545e-03,4.58079938247251e-02
1.28342589756291e-02	1.24387902167995e-03,4.61261735789050e-02
1.29235283063750e-02	1.26123132204896e-03,4.64465572103080e-02
1.30134185544194e-02	1.27882552550044e-03,4.67691598542911e-02
1.31039340385837e-02	1.29666499971971e-03,4.70939967474240e-02
1.31950791077290e-02	1.31475315914624e-03,4.74210832281073e-02
1.32868581409652e-02	1.33309346561906e-03,4.77504347371948e-02
1.33792755478612e-02	1.35168942903105e-03,4.80820668186168e-02
1.34723357686569e-02	1.37054460799213e-03,4.84159951200071e-02
1.35660432744768e-02	1.38966261050147e-03,4.87522353933319e-02
1.36604025675440e-02	1.40904709462892e-03,4.90908034955211e-02
1.37554181813975e-02	1.42870176920564e-03,4.94317153891023e-02
1.38510946811093e-02	1.44863039452427e-03,4.97749871428371e-02
1.39474366635041e-02	1.46883678304850e-03,5.01206349323595e-02
1.40444487573800e-02	1.48932480013237e-03,5.04686750408172e-02
1.41421356237310e-02	1.51009836474937e-03,5.08191238595150e-02
1.42405019559708e-02	1.53116145023142e-03,5.11719978885599e-02
1.43395524801583e-02	1.55251808501793e-03,5.15273137375096e-02
1.44392919552250e-02	1.57417235341498e-03,5.18850881260222e-02
1.45397251732032e-02	1.59612839636497e-03,5.22453378845089e-02
1.46408569594563e-02	1.61839041222650e-03,5.26080799547879e-02
1.47426921729111e-02	1.64096265756505e-03,5.29733313907419e-02
1.48452357062906e-02	1.66384944795428e-03,5.33411093589763e-02
1.49484924863495e-02	1.68705515878820e-03,5.37114311394800e-02
1.50524674741107e-02	1.71058422610440e-03,5.40843141262884e-02
1.51571656651041e-02	1.73444114741844e-03,5.44597758281484e-02
1.52625920896057e-02	1.75863048256950e-03,5.48378338691848e-02
1.53687518128802e-02	1.78315685457751e-03,5.52185059895694e-02
1.54756499354240e-02	1.80802495051187e-03,5.56018100461912e-02
1.55832915932101e-02	1.83323952237203e-03,5.59877640133293e-02
1.56916819579351e-02	1.85880538797978e-03,5.63763859833265e-02
1.58008262372676e-02	1.88472743188381e-03,5.67676941672655e-02
1.59107296750985e-02	1.91101060627631e-03,5.71617068956465e-02
1.60213975517925e-02	1.93765993192217e-03,5.75584426190664e-02
1.61328351844426e-02	1.96468049910048e-03,5.79579199088993e-02
1.62450479271248e-02	1.99207746855894e-03,5.83601574579791e-02
1.63580411711557e-02	2.01985607248104e-03,5.87651740812834e-02
1.64718203453516e-02	2.04802161546629e-03,5.91729887166181e-02
1.65863909162889e-02	2.07657947552368e-03,5.95836204253046e-02
1.67017583885675e-02	2.10553510507852e-03,5.99970883928671e-02
1.68179283050744e-02	2.13489403199279e-03,6.04134119297220e-02
1.69349062472506e-02	2.16466186059933e-03,6.08326104718678e-02
1.70526978353592e-02	2.19484427274979e-03,6.12547035815765e-02
1.71713087287552e-02	2.22544702887677e-03,6.16797109480862e-02
1.72907446261574e-02	2.25647596907016e-03,6.21076523882939e-02
1.74110112659226e-02	2.28793701416803e-03,6.25385478474499e-02
1.75321144263208e-02	2.31983616686204e-03,6.29724173998530e-02
1.76540599258132e-02	2.35217951281773e-03,6.34092812495455e-02
1.77768536233315e-02	2.38497322180980e-03,6.38491597310105e-02
1.79005014185596e-02	2.41822354887270e-03,6.42920733098678e-02
1.80250092522167e-02	2.45193683546644e-03,6.47380425835720e-02
1.81503831063433e-02	2.48611951065813e-03,6.51870882821100e-02
1.82766290045881e-02	2.52077809231928e-03,6.56392312686994e-02
1.84037530124976e-02	2.55591918833914e-03,6.60944925404864e-02
1.85317612378075e-02	2.59154949785410e-03,6.65528932292443e-02
